delta_s_mm,delta_mm,Ps_N,P_N
0.1098,0.183,13804.1337618464,-444.572872340269
0.1104,0.184,13872.7411966875,-460.372176387468
0.111,0.185,13941.5027532517,-476.026578078167
0.1116,0.186,14010.4387603625,-491.545179624091
0.1122,0.187,14079.5407136714,-506.829608416895
0.1128,0.188,14148.7779404888,-521.986691968685
0.1134,0.189,14218.1566434432,-537.117088205919
0.114,0.19,14287.6545457163,-552.195350689486
0.1146,0.191,14357.1485379575,-567.172799948856
0.1152,0.192,14426.6157365661,-582.162276653343
0.1158,0.193,14496.0740114835,-597.09769260824
0.1164,0.194,14565.6431219438,-611.884164745101
0.117,0.195,14635.3260513478,-626.496731388222
0.1176,0.196,14705.0675147975,-641.016068037124
0.1182,0.197,14774.8887623608,-655.399159803959
0.1188,0.198,14844.8022689711,-669.635377295529
0.1194,0.199,14914.769621416,-683.87467132486
0.12,0.2,14984.706785905,-698.071853440082
0.1206,0.201,15054.6856762374,-712.169537645379
0.1212,0.202,15124.6750100581,-726.245561837088
0.1218,0.203,15194.5204764976,-740.611375905929
0.1224,0.204,15264.2843947674,-754.966544054292
0.123,0.205,15334.1175205653,-769.188027803811
0.1236,0.206,15404.0616620396,-783.490249684455
0.1242,0.207,15474.0751535533,-797.65386361085
0.1248,0.208,15544.1096368665,-811.680667563952
0.1254,0.209,15614.0683386312,-825.606843379931
0.126,0.21,15684.0496570578,-839.459862156039
0.1266,0.211,15754.0209737226,-853.283847762615
0.1272,0.212,15823.848664841,-867.066747726833
0.1278,0.213,15893.5488254733,-880.761639638463
0.1284,0.214,15963.2822088724,-894.355015769022
0.129,0.215,16033.0489278788,-907.85334751102
0.1296,0.216,16102.7606031349,-921.278471336491
0.1302,0.217,16172.4744624137,-934.63802721947
0.1308,0.218,16242.1838762681,-948.014844814734
0.1314,0.219,16311.9318120564,-961.338593321706
0.132,0.22,16381.6255390335,-974.594110856698
0.1326,0.221,16451.2983201275,-987.788139916028
0.1332,0.222,16520.9587725325,-1000.91378746378
0.1338,0.223,16590.6454218392,-1013.96323156853
0.1344,0.224,16660.2498329559,-1026.9928672469
0.135,0.225,16729.8646298237,-1039.97205443964
0.1356,0.226,16799.302289209,-1052.88403396936
0.1362,0.227,16868.7442456862,-1065.75822774254
0.1368,0.228,16938.1932192532,-1078.61117581623
0.1374,0.229,17007.6118013407,-1091.44261912121
0.138,0.23,17076.9935261585,-1104.26869195446
0.1386,0.231,17146.386574732,-1117.06699094605
0.1392,0.232,17215.7995781813,-1129.82777774852
0.1398,0.233,17285.2539542259,-1142.55307641154
0.1404,0.234,17354.7240601431,-1155.21193234331
0.141,0.235,17424.1715119361,-1167.83148937467
0.1416,0.236,17493.5588475437,-1180.39721347148
0.1422,0.237,17562.7083904637,-1192.91090277986
0.1428,0.238,17631.8156978365,-1205.37618690085
0.1434,0.239,17700.9346786653,-1217.81351453305
0.144,0.24,17769.6129570828,-1230.24931846243
0.1446,0.241,17838.1935886984,-1242.63896343985
0.1452,0.242,17906.7911541053,-1255.01354702005
0.1458,0.243,17974.9106546278,-1267.36404478314
0.1464,0.244,18042.623071827,-1279.66233715675
0.147,0.245,18109.9971890391,-1291.92115853324
0.1476,0.246,18176.7804380242,-1304.20862343306
0.1482,0.247,18243.5497764325,-1316.46848133421
0.1488,0.248,18310.2885839386,-1328.67951457247
0.1494,0.249,18376.5507281083,-1340.83309141044
0.15,0.25,18442.4671883007,-1352.93467897372
0.1506,0.251,18508.1983938901,-1364.98925816935
0.1512,0.252,18573.9506097341,-1377.0218741569
0.1518,0.253,18639.5659348354,-1389.01583129366
0.1524,0.254,18704.8354840001,-1400.9466229282
0.153,0.255,18769.7017307888,-1412.91598594225
0.1536,0.256,18834.2829628775,-1424.84861759268
0.1542,0.257,18898.7694775919,-1436.73161176608
0.1548,0.258,18963.145531817,-1448.58476539382
0.1554,0.259,19027.3399496946,-1460.41159821377
0.156,0.26,19091.0215963312,-1472.22488186885
0.1566,0.261,19154.2235065807,-1483.96630249255
0.1572,0.262,19217.3886424136,-1495.66764289945
0.1578,0.263,19280.4645177328,-1507.3386045586
0.1584,0.264,19343.3260818208,-1518.96313344979
0.159,0.265,19405.94567724,-1530.53957126702
0.1596,0.266,19468.3964568185,-1542.0777807836
0.1602,0.267,19530.6660777892,-1553.57214486858
0.1608,0.268,19592.6648610738,-1565.01448773884
0.1614,0.269,19654.6302863231,-1576.41407722404
0.162,0.27,19716.4548046754,-1587.77275469612
0.1626,0.271,19777.9252152844,-1599.07557005283
0.1632,0.272,19839.2831075872,-1610.34288485477
0.1638,0.273,19900.431149029,-1621.57193821209
0.1644,0.274,19961.2677374153,-1632.79255308949
0.165,0.275,20021.8285636816,-1643.98230354856
0.1656,0.276,20082.3581797996,-1655.13854452738
0.1662,0.277,20142.8277137813,-1666.30593088926
0.1668,0.278,20203.0552451096,-1677.46209245142
0.1674,0.279,20263.1465603858,-1688.58113040454
0.168,0.28,20323.1090803183,-1699.65916096599
0.1686,0.281,20382.9486570312,-1710.69394105347
0.1692,0.282,20442.6603412058,-1721.6834357931
0.1698,0.283,20502.244868371,-1732.63005426341
0.1704,0.284,20561.5887584456,-1743.53523580476
0.171,0.285,20620.7943915542,-1754.44081775396
0.1716,0.286,20679.7946937557,-1765.33023714068
0.1722,0.287,20738.5660896235,-1776.2077663804
0.1728,0.288,20797.2461598712,-1787.07650108459
0.1734,0.289,20855.8886017453,-1797.93072841417
0.174,0.29,20914.3823997182,-1808.73915664169
0.1746,0.291,20972.6187377543,-1819.50548663961
0.1752,0.292,21030.4032150001,-1830.22182832714
0.1758,0.293,21087.5874032723,-1840.86825320159
0.1764,0.294,21144.7020437915,-1851.49503130136
0.177,0.295,21201.6718462764,-1862.07289647975
0.1776,0.296,21258.6108599545,-1872.62710877664
0.1782,0.297,21315.1933310594,-1883.14050981937
0.1788,0.298,21371.508165377,-1893.59918326529
0.1794,0.299,21427.7803079013,-1904.02383083281
0.18,0.3,21484.00838184,-1914.41502350613
0.1806,0.301,21539.9253978329,-1924.77223710716
0.1812,0.302,21595.6528685329,-1935.08164625516
0.1818,0.303,21651.2250549068,-1945.33022610863
0.1824,0.304,21706.4635346617,-1955.53380878869
0.183,0.305,21761.4036599878,-1965.70434760085
0.1836,0.306,21815.8733468975,-1975.84013092357
0.1842,0.307,21870.2273979671,-1985.92856136053
0.1848,0.308,21924.3518058348,-1995.99601427204
0.1854,0.309,21977.7586292718,-2006.00013507383
0.186,0.31,22031.0740913889,-2015.97076731291
0.1866,0.311,22084.080072052,-2025.88434047396
0.1872,0.312,22136.859043484,-2035.74814320308
0.1878,0.313,22189.3090583105,-2045.55448458095
0.1884,0.314,22241.2188386911,-2055.27492414315
0.189,0.315,22292.7047111861,-2064.9129522888
0.1896,0.316,22343.9830415444,-2074.50799215932
0.1902,0.317,22395.0740793015,-2084.06030253495
0.1908,0.318,22445.4920581849,-2093.5369857769
0.1914,0.319,22494.8838959965,-2102.85742781395
0.192,0.32,22543.8471034424,-2112.12126839404
0.1926,0.321,22592.2104265625,-2121.30502309207
0.1932,0.322,22640.0588137869,-2130.39669737782
0.1938,0.323,22687.6308783359,-2139.43735119727
0.1944,0.324,22734.931922466,-2148.43651237029
0.195,0.325,22781.6216962778,-2157.36860917104
0.1956,0.326,22827.9316694463,-2166.25287645615
0.1962,0.327,22874.1341754122,-2175.09789892445
0.1968,0.328,22920.0415076126,-2183.8795114699
0.1974,0.329,22965.5231337765,-2192.63356146939
0.198,0.33,23010.6331935478,-2201.33659232173
0.1986,0.331,23055.568450479,-2210.01014598251
0.1992,0.332,23100.3356812817,-2218.67523793306
0.1998,0.333,23144.209122275,-2227.15279681389
0.2004,0.334,23187.6961528254,-2235.55492668068
0.201,0.335,23230.6151192947,-2243.83596034601
0.2016,0.336,23273.3955235245,-2252.07205503824
0.2022,0.337,23315.125682686,-2260.13775557182
0.2028,0.338,23355.6282701378,-2267.98990789824
0.2034,0.339,23395.2910826339,-2275.72065097252
0.204,0.34,23434.4825225777,-2283.36883305675
0.2046,0.341,23472.6654013084,-2290.80802542902
0.2052,0.342,23510.1061968494,-2298.09163310791
0.2058,0.343,23547.4878456758,-2305.348406798
0.2064,0.344,23584.7623488357,-2312.56877655967
0.207,0.345,23621.5357363704,-2319.68352462259
0.2076,0.346,23657.7470263221,-2326.69891994821
0.2082,0.347,23693.528055146,-2333.62197182871
0.2088,0.348,23728.8737390668,-2340.44771636485
0.2094,0.349,23763.8063120135,-2347.19490861022
0.21,0.35,23798.3454270463,-2353.8673313323
0.2106,0.351,23832.5665339509,-2360.47839847431
0.2112,0.352,23866.5002554051,-2367.03422098586
0.2118,0.353,23900.18958898,-2373.54608827531
0.2124,0.354,23933.3875958473,-2379.98628415582
0.213,0.355,23965.9742959334,-2386.33271393094
0.2136,0.356,23998.1995633919,-2392.61142290648
0.2142,0.357,24030.2325731763,-2398.8509143795
0.2148,0.358,24062.1125982117,-2405.06726072738
0.2154,0.359,24093.7369818529,-2411.22945417527
0.216,0.36,24125.1641236675,-2417.35929079362
0.2166,0.361,24156.3938463449,-2423.44435644526
0.2172,0.362,24187.137579278,-2429.43910441131
0.2178,0.363,24217.3401546434,-2435.34360682244
0.2184,0.364,24247.2036887192,-2441.17136338294
0.219,0.365,24275.8804606972,-2446.79130948568
0.2196,0.366,24304.1945048912,-2452.35494989865
0.2202,0.367,24332.1879057453,-2457.87156854213
