time,load_N,cmod_mm
2.400000020861625671e-02,9.367051849365234375e+02,2.221982635091990232e-03
2.410000003874301910e-02,9.405693206787109375e+02,2.231477119494229555e-03
2.419999986886978149e-02,9.444334716796875000e+02,2.240971662104129791e-03
2.429999969899654388e-02,9.482976074218750000e+02,2.250466146506369114e-03
2.439999952912330627e-02,9.521617431640625000e+02,2.259960689116269350e-03
2.449999935925006866e-02,9.560258941650390625e+02,2.269455173518508673e-03
2.459999918937683105e-02,9.598900299072265625e+02,2.278949657920747995e-03
2.470000088214874268e-02,9.637458038330078125e+02,2.288497227709740400e-03
2.480000071227550507e-02,9.675880126953125000e+02,2.298130188137292862e-03
2.490000054240226746e-02,9.714110107421875000e+02,2.307883987668901682e-03
2.500000037252902985e-02,9.752187805175781250e+02,2.317733073141425848e-03
2.510000020265579224e-02,9.790173950195312500e+02,2.327639434952288866e-03
2.520000003278255463e-02,9.828107757568359375e+02,2.337578451260924339e-03
2.529999986290931702e-02,9.866011199951171875e+02,2.347536094021052122e-03
2.539999969303607941e-02,9.903897399902343750e+02,2.357504738029092550e-03
2.549999952316284180e-02,9.941773681640625000e+02,2.367479784879833460e-03
2.559999935328960419e-02,9.979643707275390625e+02,2.377458615228533745e-03
2.569999918341636658e-02,1.001751052856445312e+03,2.387440006714314222e-03
2.580000087618827820e-02,1.005537460327148438e+03,2.397422620560973883e-03
2.590000070631504059e-02,1.009323745727539062e+03,2.407406456768512726e-03
2.600000053644180298e-02,1.013109909057617188e+03,2.417391340713948011e-03
2.610000036656856537e-02,1.016895980834960938e+03,2.427376632113009691e-03
2.620000019669532776e-02,1.020681991577148438e+03,2.437362622004002333e-03
2.630000002682209015e-02,1.024467910766601562e+03,2.447349019348621368e-03
2.639999985694885254e-02,1.028253768920898438e+03,2.457336056977510452e-03
2.649999968707561493e-02,1.032039566040039062e+03,2.467323676683008671e-03
2.659999951720237732e-02,1.035825332641601562e+03,2.477311529219150543e-03
2.669999934732913971e-02,1.039611022949218750e+03,2.487299963831901550e-03
2.679999917745590210e-02,1.043396667480468750e+03,2.497288864105939865e-03
2.690000087022781372e-02,1.047182235717773438e+03,2.507278346456587315e-03
2.700000070035457611e-02,1.050967758178710938e+03,2.517268178053200245e-03
2.710000053048133850e-02,1.054753250122070312e+03,2.527258475311100483e-03
2.720000036060810089e-02,1.058538681030273438e+03,2.537249121814966202e-03
2.730000019073486328e-02,1.062324050903320312e+03,2.547240408603101969e-03
2.740000002086162567e-02,1.066109390258789062e+03,2.557232044637203217e-03
2.749999985098838806e-02,1.069894668579101562e+03,2.567224088124930859e-03
2.759999968111515045e-02,1.073679885864257812e+03,2.577216480858623981e-03
2.769999951124191284e-02,1.077465057373046875e+03,2.587209281045943499e-03
2.779999934136867523e-02,1.081250213623046875e+03,2.597202488686889410e-03
2.789999917149543762e-02,1.085035308837890625e+03,2.607196278404444456e-03
2.800000086426734924e-02,1.088820327758789062e+03,2.617190475575625896e-03
2.810000069439411163e-02,1.092605331420898438e+03,2.627184789162129164e-03
2.820000052452087402e-02,1.096390289306640625e+03,2.637179684825241566e-03
2.830000035464763641e-02,1.100175186157226562e+03,2.647174987941980362e-03
2.840000018477439880e-02,1.103960067749023438e+03,2.657170640304684639e-03
2.850000001490116119e-02,1.107744888305664062e+03,2.667166700121015310e-03
2.859999984502792358e-02,1.111529663085937500e+03,2.677163109183311462e-03
2.869999967515468597e-02,1.115314422607421875e+03,2.687159867491573095e-03
2.879999950528144836e-02,1.119099121093750000e+03,2.697157033253461123e-03
2.889999933540821075e-02,1.122883728027343750e+03,2.707154781091958284e-03
2.899999916553497314e-02,1.126668365478515625e+03,2.717152645345777273e-03
2.910000085830688477e-02,1.130452941894531250e+03,2.727150917053222656e-03
2.920000068843364716e-02,1.134228973388671875e+03,2.737203089054673910e-03
2.930000051856040955e-02,1.137999053955078125e+03,2.747292572166770697e-03
2.940000034868717194e-02,1.141765319824218750e+03,2.757405978627502918e-03
2.950000017881393433e-02,1.145519897460937500e+03,2.767592901363968849e-03
2.960000000894069672e-02,1.149266876220703125e+03,2.777827729005366564e-03
2.969999983906745911e-02,1.153008972167968750e+03,2.788092999253422022e-03
2.979999966919422150e-02,1.156748107910156250e+03,2.798376837745308876e-03
2.989999949932098389e-02,1.160485504150390625e+03,2.808671793900430202e-03
2.999999932944774628e-02,1.164221893310546875e+03,2.818972803652286530e-03
3.009999915957450867e-02,1.167957702636718750e+03,2.829277538694441319e-03
3.020000085234642029e-02,1.171693145751953125e+03,2.839584136381745338e-03
3.030000068247318268e-02,1.175428436279296875e+03,2.849891956429928541e-03
3.040000051259994507e-02,1.179163665771484375e+03,2.860200009308755398e-03
3.050000034272670746e-02,1.182898834228515625e+03,2.870508411433547735e-03
3.060000017285346985e-02,1.186634002685546875e+03,2.880816638935357332e-03
3.070000000298023224e-02,1.190369232177734375e+03,2.891124633606523275e-03
3.079999983310699463e-02,1.194104400634765625e+03,2.901432395447045565e-03
3.089999966323375702e-02,1.197839630126953125e+03,2.911740099079906940e-03
3.099999949336051941e-02,1.201574920654296875e+03,2.922047511674463749e-03
3.109999932348728180e-02,1.205310180664062500e+03,2.932354691438376904e-03
3.119999915361404419e-02,1.209045471191406250e+03,2.942661754786968231e-03
3.130000084638595581e-02,1.212780822753906250e+03,2.952968294266611338e-03
3.139999881386756897e-02,1.216516174316406250e+03,2.963274717330932617e-03
3.150000050663948059e-02,1.220251586914062500e+03,2.973580907564610243e-03
3.159999847412109375e-02,1.223986999511718750e+03,2.983886981382966042e-03
3.170000016689300537e-02,1.227722442626953125e+03,2.994192531332373619e-03
3.180000185966491699e-02,1.231457885742187500e+03,3.004498023074120283e-03
3.189999982714653015e-02,1.235193389892578125e+03,3.014803456608206034e-03
3.200000151991844177e-02,1.238928894042968750e+03,3.025108599103987217e-03
3.209999948740005493e-02,1.242664459228515625e+03,3.035413392353802919e-03
3.220000118017196655e-02,1.246399993896484375e+03,3.045717952772974968e-03
3.229999914765357971e-02,1.250135589599609375e+03,3.056022396776825190e-03
3.240000084042549133e-02,1.253871185302734375e+03,3.066326782573014498e-03
3.249999880790710449e-02,1.257606811523437500e+03,3.076630702707916498e-03
3.260000050067901611e-02,1.261342437744140625e+03,3.086934506427496672e-03
3.269999846816062927e-02,1.265078094482421875e+03,3.097238251939415932e-03
3.280000016093254089e-02,1.268813812255859375e+03,3.107541939243674278e-03
3.290000185370445251e-02,1.272549499511718750e+03,3.117845160886645317e-03
3.299999982118606567e-02,1.276285247802734375e+03,3.128148266114294529e-03
3.310000151395797729e-02,1.280020965576171875e+03,3.138451313134282827e-03
3.319999948143959045e-02,1.283756713867187500e+03,3.148754360154271126e-03
3.330000117421150208e-02,1.287492462158203125e+03,3.159056825097650290e-03
3.339999914169311523e-02,1.291228271484375000e+03,3.169359290041029453e-03
3.350000083446502686e-02,1.294964050292968750e+03,3.179661696776747704e-03
3.359999880194664001e-02,1.298699859619140625e+03,3.189964045304805040e-03
3.370000049471855164e-02,1.302435699462890625e+03,3.200265869963914156e-03
3.379999846220016479e-02,1.306171569824218750e+03,3.210567636415362358e-03
3.390000015497207642e-02,1.309907409667968750e+03,3.220869402866810560e-03
3.400000184774398804e-02,1.313643280029296875e+03,3.231171052902936935e-03
3.409999981522560120e-02,1.317375854492187500e+03,3.241493017412722111e-03
3.420000150799751282e-02,1.321097778320312500e+03,3.251882386393845081e-03
3.429999947547912598e-02,1.324810729980468750e+03,3.262326878029853106e-03
3.440000116825103760e-02,1.328510894775390625e+03,3.272851172368973494e-03
