# NOEL, g1x, g1y, g2x, g2y, g3x, g3y
123, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
124, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
125, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
126, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
127, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
128, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
129, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
130, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
131, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
132, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
133, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
134, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
135, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
136, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
137, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
138, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
139, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
140, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
141, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
142, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
143, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
144, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
145, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
146, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
147, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
148, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
149, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
150, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
151, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
152, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
153, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
154, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
155, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
156, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
157, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
158, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
159, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
160, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
161, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
162, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
163, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
164, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
165, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
166, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
167, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
168, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
169, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
170, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
171, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
172, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
173, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
