# step, mean_h_oliver[mm], min_h_oliver[mm], max_h_oliver[mm]
149, 1.928421e+00, 6.301616e-01, 6.373774e+00
150, 1.928421e+00, 6.301616e-01, 6.373774e+00
151, 1.928421e+00, 6.301616e-01, 6.373774e+00
152, 1.928421e+00, 6.301616e-01, 6.373774e+00
153, 1.928421e+00, 6.301616e-01, 6.373774e+00
154, 1.928421e+00, 6.301616e-01, 6.373774e+00
155, 1.928421e+00, 6.301616e-01, 6.373774e+00
156, 1.928421e+00, 6.301616e-01, 6.373774e+00
157, 1.928421e+00, 6.301616e-01, 6.373774e+00
158, 1.928421e+00, 6.301616e-01, 6.373774e+00
159, 1.928421e+00, 6.301616e-01, 6.373774e+00
160, 1.928421e+00, 6.301616e-01, 6.373774e+00
161, 1.928421e+00, 6.301616e-01, 6.373774e+00
162, 1.928421e+00, 6.301616e-01, 6.373774e+00
163, 1.928421e+00, 6.301616e-01, 6.373774e+00
164, 1.928421e+00, 6.301616e-01, 6.373774e+00
165, 1.928421e+00, 6.301616e-01, 6.373774e+00
166, 1.928421e+00, 6.301616e-01, 6.373774e+00
167, 1.928421e+00, 6.301616e-01, 6.373774e+00
168, 1.928421e+00, 6.301616e-01, 6.373774e+00
169, 1.928421e+00, 6.301616e-01, 6.373774e+00
170, 1.928422e+00, 6.301616e-01, 6.373774e+00
171, 1.928428e+00, 6.301619e-01, 6.373774e+00
172, 1.928440e+00, 6.301623e-01, 6.373774e+00
173, 1.928456e+00, 6.301626e-01, 6.373774e+00
174, 1.928473e+00, 6.301630e-01, 6.373774e+00
175, 1.928490e+00, 6.301633e-01, 6.373774e+00
176, 1.928508e+00, 6.301636e-01, 6.373774e+00
177, 1.928526e+00, 6.301638e-01, 6.373774e+00
178, 1.928544e+00, 6.301641e-01, 6.373774e+00
179, 1.928561e+00, 6.301643e-01, 6.373774e+00
180, 1.928578e+00, 6.301646e-01, 6.373774e+00
181, 1.928594e+00, 6.301648e-01, 6.373774e+00
182, 1.928611e+00, 6.301650e-01, 6.373774e+00
183, 1.928627e+00, 6.301652e-01, 6.373774e+00
