# cmod[mm], load[N]
3.233232e-03, 1.304688e+03
3.243344e-03, 1.308212e+03
3.253460e-03, 1.311736e+03
3.263577e-03, 1.315260e+03
3.273697e-03, 1.318783e+03
3.283820e-03, 1.322306e+03
3.293953e-03, 1.325827e+03
3.304092e-03, 1.329348e+03
3.314241e-03, 1.332867e+03
3.324398e-03, 1.336385e+03
3.334561e-03, 1.339902e+03
3.344726e-03, 1.343419e+03
3.354892e-03, 1.346935e+03
3.365060e-03, 1.350452e+03
3.375228e-03, 1.353968e+03
3.385397e-03, 1.357484e+03
3.395567e-03, 1.361000e+03
3.405738e-03, 1.364516e+03
3.415909e-03, 1.368032e+03
3.426080e-03, 1.371548e+03
3.436253e-03, 1.375063e+03
3.446425e-03, 1.378579e+03
3.456599e-03, 1.382094e+03
3.466773e-03, 1.385610e+03
3.476948e-03, 1.389125e+03
3.487124e-03, 1.392640e+03
3.497300e-03, 1.396155e+03
3.507476e-03, 1.399670e+03
3.517661e-03, 1.403183e+03
3.527877e-03, 1.406692e+03
3.538136e-03, 1.410195e+03
3.548425e-03, 1.413693e+03
3.558735e-03, 1.417187e+03
3.569076e-03, 1.420677e+03
3.579439e-03, 1.424164e+03
3.589818e-03, 1.427648e+03
3.600207e-03, 1.431131e+03
3.610602e-03, 1.434613e+03
3.621002e-03, 1.438094e+03
3.631405e-03, 1.441575e+03
3.641810e-03, 1.445055e+03
3.652216e-03, 1.448536e+03
3.662624e-03, 1.452016e+03
3.673032e-03, 1.455496e+03
3.683440e-03, 1.458975e+03
3.693849e-03, 1.462455e+03
3.704261e-03, 1.465934e+03
3.714677e-03, 1.469413e+03
3.725092e-03, 1.472892e+03
3.735509e-03, 1.476370e+03
3.745938e-03, 1.479847e+03
3.756403e-03, 1.483318e+03
3.766899e-03, 1.486785e+03
3.777428e-03, 1.490247e+03
3.787996e-03, 1.493703e+03
3.798591e-03, 1.497155e+03
3.809203e-03, 1.500605e+03
3.819828e-03, 1.504052e+03
3.830461e-03, 1.507498e+03
3.841099e-03, 1.510944e+03
3.851740e-03, 1.514389e+03
3.862385e-03, 1.517833e+03
3.873031e-03, 1.521277e+03
3.883678e-03, 1.524721e+03
3.894327e-03, 1.528165e+03
3.904977e-03, 1.531608e+03
3.915628e-03, 1.535051e+03
3.926280e-03, 1.538494e+03
3.936933e-03, 1.541937e+03
3.947586e-03, 1.545380e+03
3.958240e-03, 1.548822e+03
3.968895e-03, 1.552264e+03
3.979551e-03, 1.555707e+03
3.990207e-03, 1.559149e+03
4.000873e-03, 1.562589e+03
4.011549e-03, 1.566029e+03
4.022231e-03, 1.569467e+03
4.032932e-03, 1.572902e+03
4.043651e-03, 1.576335e+03
4.054381e-03, 1.579766e+03
4.065121e-03, 1.583195e+03
4.075866e-03, 1.586624e+03
4.086631e-03, 1.590049e+03
4.097416e-03, 1.593471e+03
4.108216e-03, 1.596892e+03
4.119026e-03, 1.600310e+03
4.129850e-03, 1.603726e+03
4.140695e-03, 1.607140e+03
4.151561e-03, 1.610550e+03
4.162439e-03, 1.613958e+03
4.173325e-03, 1.617365e+03
4.184216e-03, 1.620771e+03
4.195110e-03, 1.624177e+03
4.206006e-03, 1.627582e+03
4.216904e-03, 1.630987e+03
4.227817e-03, 1.634390e+03
4.238742e-03, 1.637791e+03
4.249674e-03, 1.641191e+03
4.260612e-03, 1.644590e+03
4.271564e-03, 1.647987e+03
4.282531e-03, 1.651381e+03
4.293509e-03, 1.654774e+03
4.304507e-03, 1.658164e+03
4.315526e-03, 1.661551e+03
4.326565e-03, 1.664935e+03
4.337634e-03, 1.668314e+03
4.348728e-03, 1.671689e+03
4.359839e-03, 1.675062e+03
4.370963e-03, 1.678433e+03
4.382095e-03, 1.681803e+03
4.393232e-03, 1.685171e+03
4.404377e-03, 1.688539e+03
4.415530e-03, 1.691905e+03
4.426699e-03, 1.695269e+03
4.437881e-03, 1.698630e+03
4.449074e-03, 1.701990e+03
4.460273e-03, 1.705350e+03
4.471477e-03, 1.708708e+03
4.482685e-03, 1.712065e+03
4.493896e-03, 1.715422e+03
4.505109e-03, 1.718779e+03
4.516323e-03, 1.722136e+03
4.527539e-03, 1.725492e+03
4.538756e-03, 1.728848e+03
4.549985e-03, 1.732202e+03
4.561222e-03, 1.735555e+03
4.572464e-03, 1.738907e+03
4.583708e-03, 1.742258e+03
4.594955e-03, 1.745610e+03
4.606204e-03, 1.748961e+03
4.617467e-03, 1.752309e+03
4.628761e-03, 1.755653e+03
4.640084e-03, 1.758992e+03
4.651430e-03, 1.762328e+03
4.662791e-03, 1.765662e+03
4.674163e-03, 1.768993e+03
4.685543e-03, 1.772323e+03
4.696928e-03, 1.775653e+03
4.708325e-03, 1.778980e+03
4.719737e-03, 1.782305e+03
4.731162e-03, 1.785629e+03
4.742596e-03, 1.788950e+03
4.754035e-03, 1.792271e+03
4.765479e-03, 1.795591e+03
4.776926e-03, 1.798911e+03
4.788374e-03, 1.802231e+03
4.799824e-03, 1.805550e+03
4.811275e-03, 1.808869e+03
4.822727e-03, 1.812187e+03
4.834183e-03, 1.815505e+03
4.845653e-03, 1.818821e+03
4.857143e-03, 1.822134e+03
4.868658e-03, 1.825443e+03
4.880195e-03, 1.828748e+03
4.891747e-03, 1.832051e+03
4.903319e-03, 1.835351e+03
4.914912e-03, 1.838648e+03
4.926519e-03, 1.841942e+03
4.938138e-03, 1.845234e+03
4.949765e-03, 1.848526e+03
4.961403e-03, 1.851815e+03
4.973051e-03, 1.855103e+03
4.984705e-03, 1.858389e+03
4.996362e-03, 1.861676e+03
5.008021e-03, 1.864961e+03
5.019683e-03, 1.868247e+03
5.031346e-03, 1.871531e+03
5.043021e-03, 1.874815e+03
