# cmod[mm], load[N]
4.084485e-02, 3.595115e+03
4.106804e-02, 3.589234e+03
4.129146e-02, 3.583316e+03
4.151499e-02, 3.577375e+03
4.173889e-02, 3.571378e+03
4.196347e-02, 3.565269e+03
4.218864e-02, 3.559068e+03
4.241437e-02, 3.552781e+03
4.264053e-02, 3.546423e+03
4.286721e-02, 3.539983e+03
4.309449e-02, 3.533451e+03
4.332221e-02, 3.526847e+03
4.354983e-02, 3.520265e+03
4.377772e-02, 3.513642e+03
4.400642e-02, 3.506892e+03
4.423558e-02, 3.500073e+03
4.446500e-02, 3.493225e+03
4.469491e-02, 3.486311e+03
4.492522e-02, 3.479342e+03
4.515633e-02, 3.472245e+03
4.538736e-02, 3.465164e+03
4.561822e-02, 3.458116e+03
4.584928e-02, 3.451042e+03
4.608049e-02, 3.443956e+03
4.631233e-02, 3.436781e+03
4.654428e-02, 3.429596e+03
4.677656e-02, 3.422366e+03
4.700929e-02, 3.415075e+03
4.724206e-02, 3.407783e+03
4.747490e-02, 3.400486e+03
4.770765e-02, 3.393212e+03
4.794063e-02, 3.385911e+03
4.817364e-02, 3.378613e+03
4.840662e-02, 3.371332e+03
4.863975e-02, 3.364034e+03
4.887346e-02, 3.356649e+03
4.910709e-02, 3.349281e+03
4.934052e-02, 3.341954e+03
4.957422e-02, 3.334602e+03
4.980815e-02, 3.327217e+03
5.004197e-02, 3.319861e+03
5.027569e-02, 3.312533e+03
5.050940e-02, 3.305218e+03
5.074342e-02, 3.297866e+03
5.097767e-02, 3.290489e+03
5.121204e-02, 3.283096e+03
5.144631e-02, 3.275723e+03
5.168131e-02, 3.268245e+03
5.191679e-02, 3.260702e+03
5.215323e-02, 3.253018e+03
5.238956e-02, 3.245356e+03
5.262567e-02, 3.237737e+03
5.286147e-02, 3.230174e+03
5.309738e-02, 3.222598e+03
5.333319e-02, 3.215046e+03
5.356936e-02, 3.207451e+03
5.380584e-02, 3.199817e+03
5.404236e-02, 3.192178e+03
5.427880e-02, 3.184557e+03
5.451533e-02, 3.176935e+03
5.475202e-02, 3.169297e+03
5.498881e-02, 3.161653e+03
5.522555e-02, 3.154023e+03
5.546273e-02, 3.146341e+03
5.569987e-02, 3.138672e+03
5.593716e-02, 3.130992e+03
5.617474e-02, 3.123284e+03
5.641272e-02, 3.115531e+03
5.665057e-02, 3.107806e+03
5.688822e-02, 3.100118e+03
5.712604e-02, 3.092410e+03
5.736420e-02, 3.084661e+03
5.760224e-02, 3.076937e+03
5.784001e-02, 3.069260e+03
5.807767e-02, 3.061610e+03
5.831547e-02, 3.053942e+03
5.855327e-02, 3.046283e+03
5.879118e-02, 3.038622e+03
5.902962e-02, 3.030899e+03
5.926837e-02, 3.023130e+03
5.950726e-02, 3.015342e+03
5.974613e-02, 3.007564e+03
5.998486e-02, 2.999817e+03
6.022358e-02, 2.992078e+03
6.046279e-02, 2.984276e+03
6.070240e-02, 2.976417e+03
6.094188e-02, 2.968578e+03
6.118147e-02, 2.960728e+03
6.142138e-02, 2.952839e+03
6.166123e-02, 2.944969e+03
6.190092e-02, 2.937131e+03
6.214105e-02, 2.929241e+03
6.238149e-02, 2.921307e+03
6.262181e-02, 2.913398e+03
6.286265e-02, 2.905429e+03
6.310428e-02, 2.897343e+03
6.334576e-02, 2.889286e+03
6.340626e-02, 2.887253e+03
6.346693e-02, 2.885188e+03
6.352763e-02, 2.883122e+03
6.361851e-02, 2.880050e+03
6.375464e-02, 2.875476e+03
6.395809e-02, 2.868745e+03
6.416200e-02, 2.861952e+03
6.436629e-02, 2.855101e+03
6.457130e-02, 2.848140e+03
6.477674e-02, 2.841122e+03
6.498208e-02, 2.834125e+03
6.518736e-02, 2.827150e+03
6.539266e-02, 2.820179e+03
6.559802e-02, 2.813202e+03
6.580343e-02, 2.806228e+03
6.600902e-02, 2.799236e+03
6.621512e-02, 2.792179e+03
6.642114e-02, 2.785138e+03
6.662704e-02, 2.778121e+03
6.693579e-02, 2.767615e+03
6.724500e-02, 2.757059e+03
6.755455e-02, 2.746473e+03
6.786486e-02, 2.735805e+03
6.817524e-02, 2.725137e+03
6.848526e-02, 2.714540e+03
6.879574e-02, 2.703899e+03
6.910677e-02, 2.693197e+03
6.941763e-02, 2.682536e+03
6.972808e-02, 2.671948e+03
7.003804e-02, 2.661456e+03
7.034765e-02, 2.651030e+03
7.065683e-02, 2.640681e+03
7.104310e-02, 2.627762e+03
7.142972e-02, 2.614817e+03
7.181639e-02, 2.601898e+03
7.220328e-02, 2.588990e+03
7.258983e-02, 2.576162e+03
7.297675e-02, 2.563324e+03
7.336359e-02, 2.550524e+03
7.375035e-02, 2.537770e+03
7.413653e-02, 2.525125e+03
7.452195e-02, 2.512615e+03
7.490715e-02, 2.500176e+03
7.529254e-02, 2.487749e+03
7.567848e-02, 2.475284e+03
7.606397e-02, 2.462909e+03
7.644889e-02, 2.450642e+03
7.683368e-02, 2.438420e+03
7.721850e-02, 2.426228e+03
7.760345e-02, 2.414060e+03
7.798811e-02, 2.401964e+03
7.837235e-02, 2.389952e+03
7.875659e-02, 2.377973e+03
7.914029e-02, 2.366094e+03
7.952343e-02, 2.354326e+03
7.990606e-02, 2.342652e+03
8.028769e-02, 2.331151e+03
8.066930e-02, 2.319690e+03
8.105138e-02, 2.308185e+03
8.143309e-02, 2.296752e+03
8.181473e-02, 2.285363e+03
8.219641e-02, 2.273999e+03
8.257808e-02, 2.262676e+03
8.295927e-02, 2.251438e+03
8.333994e-02, 2.240297e+03
8.372109e-02, 2.229113e+03
8.410196e-02, 2.217988e+03
8.448253e-02, 2.206936e+03
8.486321e-02, 2.195903e+03
8.524345e-02, 2.184957e+03
8.562333e-02, 2.174095e+03
8.600300e-02, 2.163285e+03
