# step, mean_h_oliver[mm], min_h_oliver[mm], max_h_oliver[mm]
180, 2.016368e+00, 6.492574e-01, 6.373774e+00
181, 2.017074e+00, 6.493277e-01, 6.373774e+00
182, 2.017784e+00, 6.494000e-01, 6.373774e+00
183, 2.018486e+00, 6.494745e-01, 6.373774e+00
184, 2.019187e+00, 6.495510e-01, 6.373774e+00
185, 2.019905e+00, 6.496294e-01, 6.373774e+00
186, 2.020619e+00, 6.497098e-01, 6.373774e+00
187, 2.021326e+00, 6.497920e-01, 6.373774e+00
188, 2.022032e+00, 6.498760e-01, 6.373774e+00
189, 2.022721e+00, 6.499616e-01, 6.373774e+00
190, 2.023401e+00, 6.500489e-01, 6.373774e+00
191, 2.024073e+00, 6.501379e-01, 6.373774e+00
192, 2.024770e+00, 6.502287e-01, 6.373774e+00
193, 2.025484e+00, 6.503211e-01, 6.373774e+00
194, 2.026210e+00, 6.504153e-01, 6.373774e+00
195, 2.026917e+00, 6.505110e-01, 6.373774e+00
196, 2.027584e+00, 6.506083e-01, 6.373774e+00
197, 2.028260e+00, 6.507072e-01, 6.373774e+00
198, 2.028915e+00, 6.508077e-01, 6.373774e+00
199, 2.029601e+00, 6.509100e-01, 6.373774e+00
200, 2.030296e+00, 6.510141e-01, 6.373774e+00
201, 2.030978e+00, 6.511200e-01, 6.373774e+00
202, 2.031661e+00, 6.512278e-01, 6.373774e+00
203, 2.032314e+00, 6.513374e-01, 6.373774e+00
204, 2.032941e+00, 6.514484e-01, 6.373774e+00
205, 2.033558e+00, 6.515605e-01, 6.373774e+00
206, 2.034185e+00, 6.516736e-01, 6.373774e+00
207, 2.034817e+00, 6.517878e-01, 6.373774e+00
208, 2.035456e+00, 6.519035e-01, 6.373774e+00
209, 2.036116e+00, 6.520211e-01, 6.373774e+00
210, 2.036767e+00, 6.521406e-01, 6.373774e+00
211, 2.037401e+00, 6.522622e-01, 6.373774e+00
212, 2.038026e+00, 6.523860e-01, 6.373774e+00
213, 2.038637e+00, 6.525120e-01, 6.373774e+00
214, 2.039246e+00, 6.522836e-01, 6.373774e+00
215, 2.039827e+00, 6.518897e-01, 6.373774e+00
216, 2.040419e+00, 6.515670e-01, 6.373774e+00
217, 2.041028e+00, 6.513083e-01, 6.373774e+00
218, 2.041621e+00, 6.511089e-01, 6.373774e+00
219, 2.042183e+00, 6.509140e-01, 6.373774e+00
220, 2.042740e+00, 6.507203e-01, 6.373774e+00
221, 2.043283e+00, 6.505483e-01, 6.373774e+00
222, 2.043758e+00, 6.504247e-01, 6.373774e+00
223, 2.044233e+00, 6.503262e-01, 6.373774e+00
224, 2.044699e+00, 6.502457e-01, 6.373774e+00
225, 2.045153e+00, 6.501781e-01, 6.373774e+00
226, 2.045590e+00, 6.501065e-01, 6.373774e+00
227, 2.045976e+00, 6.499540e-01, 6.373774e+00
228, 2.046319e+00, 6.497518e-01, 6.373774e+00
229, 2.046665e+00, 6.495218e-01, 6.373774e+00
230, 2.047040e+00, 6.492761e-01, 6.373774e+00
231, 2.047430e+00, 6.490235e-01, 6.373774e+00
232, 2.047827e+00, 6.487632e-01, 6.373774e+00
233, 2.048207e+00, 6.484950e-01, 6.373774e+00
234, 2.048590e+00, 6.482197e-01, 6.373774e+00
235, 2.048964e+00, 6.479353e-01, 6.373774e+00
236, 2.049317e+00, 6.476387e-01, 6.373774e+00
237, 2.049640e+00, 6.473295e-01, 6.373774e+00
238, 2.049984e+00, 6.470114e-01, 6.373774e+00
239, 2.050343e+00, 6.466860e-01, 6.373774e+00
240, 2.050713e+00, 6.463536e-01, 6.373774e+00
241, 2.051061e+00, 6.460137e-01, 6.373774e+00
242, 2.051409e+00, 6.456704e-01, 6.373774e+00
243, 2.051753e+00, 6.453258e-01, 6.373774e+00
244, 2.052099e+00, 6.449755e-01, 6.373774e+00
245, 2.052410e+00, 6.446209e-01, 6.373774e+00
246, 2.052709e+00, 6.442671e-01, 6.373774e+00
247, 2.053020e+00, 6.439135e-01, 6.373774e+00
248, 2.053328e+00, 6.435604e-01, 6.373774e+00
249, 2.053611e+00, 6.432071e-01, 6.373774e+00
250, 2.053880e+00, 6.428537e-01, 6.373774e+00
251, 2.054159e+00, 6.424908e-01, 6.373774e+00
252, 2.054437e+00, 6.421119e-01, 6.373774e+00
253, 2.054712e+00, 6.417234e-01, 6.373774e+00
254, 2.054987e+00, 6.413271e-01, 6.373774e+00
255, 2.055258e+00, 6.409166e-01, 6.373774e+00
256, 2.055515e+00, 6.404866e-01, 6.373774e+00
257, 2.055760e+00, 6.400511e-01, 6.373774e+00
258, 2.056013e+00, 6.396127e-01, 6.373774e+00
259, 2.056263e+00, 6.391737e-01, 6.373774e+00
260, 2.056512e+00, 6.387356e-01, 6.373774e+00
261, 2.056740e+00, 6.382992e-01, 6.373774e+00
262, 2.056971e+00, 6.378654e-01, 6.373774e+00
263, 2.057185e+00, 6.374360e-01, 6.373774e+00
264, 2.057381e+00, 6.370139e-01, 6.373774e+00
265, 2.057569e+00, 6.366004e-01, 6.373774e+00
266, 2.057763e+00, 6.361962e-01, 6.373774e+00
267, 2.057948e+00, 6.358027e-01, 6.373774e+00
268, 2.058140e+00, 6.354216e-01, 6.373774e+00
269, 2.058348e+00, 6.350541e-01, 6.373774e+00
270, 2.058539e+00, 6.347005e-01, 6.373774e+00
271, 2.058717e+00, 6.343611e-01, 6.373774e+00
272, 2.058889e+00, 6.340364e-01, 6.373774e+00
273, 2.059057e+00, 6.337264e-01, 6.373774e+00
274, 2.059229e+00, 6.334310e-01, 6.373774e+00
275, 2.059369e+00, 6.331488e-01, 6.373774e+00
276, 2.059485e+00, 6.328787e-01, 6.373774e+00
277, 2.059611e+00, 6.326200e-01, 6.373774e+00
278, 2.059732e+00, 6.323723e-01, 6.373774e+00
279, 2.059860e+00, 6.321361e-01, 6.373774e+00
280, 2.059979e+00, 6.319122e-01, 6.373774e+00
281, 2.060095e+00, 6.317010e-01, 6.373774e+00
282, 2.060202e+00, 6.315026e-01, 6.373774e+00
283, 2.060326e+00, 6.313161e-01, 6.373774e+00
284, 2.060458e+00, 6.311404e-01, 6.373774e+00
285, 2.060594e+00, 6.309749e-01, 6.373774e+00
286, 2.060730e+00, 6.308190e-01, 6.373774e+00
287, 2.060858e+00, 6.306726e-01, 6.373774e+00
288, 2.060980e+00, 6.305351e-01, 6.373774e+00
289, 2.061108e+00, 6.304044e-01, 6.373774e+00
290, 2.061237e+00, 6.302823e-01, 6.373774e+00
291, 2.061353e+00, 6.301697e-01, 6.373774e+00
292, 2.061458e+00, 6.300665e-01, 6.373774e+00
293, 2.061562e+00, 6.299723e-01, 6.373774e+00
294, 2.061664e+00, 6.298886e-01, 6.373774e+00
295, 2.061789e+00, 6.298166e-01, 6.373774e+00
296, 2.061927e+00, 6.297572e-01, 6.373774e+00
297, 2.062068e+00, 6.297115e-01, 6.373774e+00
298, 2.062183e+00, 6.296802e-01, 6.373774e+00
299, 2.062296e+00, 6.296639e-01, 6.373774e+00
300, 2.062406e+00, 6.296631e-01, 6.373774e+00
